rule	status	evidence	note
range_bound	covered	examples/syntax/pattern-alternatives.kgr	-
primary_pattern	covered	examples/syntax/match.kgr	-
parenthesized_pattern	covered	examples/syntax/match.kgr	-
tuple_pattern	covered	examples/syntax/match.kgr	-
pattern_list	covered	examples/syntax/match.kgr	-
tuple_struct_pattern	covered	examples/syntax/match.kgr	-
struct_pattern	covered	examples/syntax/match.kgr	-
field_pattern_list	covered	examples/syntax/match.kgr	-
field_pattern	covered	examples/syntax/match.kgr	-
place_expr	covered	examples/syntax/data-model.kgr	-
parenthesized_place_expr	covered	examples/syntax/data-model.kgr	-
place_suffix	covered	examples/syntax/data-model.kgr	-
literal	covered	examples/syntax/expressions.kgr	-
WHITESPACE	covered	examples/syntax/expressions.kgr	-
LINE_COMMENT	covered	examples/syntax/expressions.kgr	-
BLOCK_COMMENT	covered	examples/syntax/literals-and-comments.kgr	-
IDENT	covered	examples/syntax/expressions.kgr	-
IDENT_START	covered	examples/syntax/expressions.kgr	-
IDENT_CONTINUE	covered	examples/syntax/expressions.kgr	-
INTEGER	covered	examples/syntax/literals-and-comments.kgr	-
DEC_INTEGER	covered	examples/syntax/literals-and-comments.kgr	-
BIN_INTEGER	covered	examples/syntax/literals-and-comments.kgr	-
OCT_INTEGER	covered	examples/syntax/literals-and-comments.kgr	-
HEX_INTEGER	covered	examples/syntax/literals-and-comments.kgr	-
FLOAT	covered	examples/syntax/literals-and-comments.kgr	-
EXPONENT	covered	examples/syntax/literals-and-comments.kgr	-
STRING	covered	examples/syntax/literals-and-comments.kgr	-
STRING_CHAR	covered	examples/syntax/literals-and-comments.kgr	-
ESCAPE_SEQUENCE	covered	examples/syntax/literals-and-comments.kgr	-
UNICODE_ESCAPE	covered	examples/syntax/literals-and-comments.kgr	-
OPERATOR_TOKEN	covered	examples/syntax/ranges.kgr	-
DELIMITER_TOKEN	covered	examples/syntax/attributes.kgr	-
ASCII_LETTER	covered	examples/syntax/expressions.kgr	-
DIGIT	covered	examples/syntax/expressions.kgr	-
BIN_DIGIT	covered	examples/syntax/literals-and-comments.kgr	-
OCT_DIGIT	covered	examples/syntax/literals-and-comments.kgr	-
HEX_DIGIT	covered	examples/syntax/literals-and-comments.kgr	-
LINE_TEXT	covered	examples/syntax/expressions.kgr	-
BLOCK_COMMENT_CHAR	covered	examples/syntax/literals-and-comments.kgr	-
STRING_TEXT_CHAR	covered	examples/standard-library.kgr	-
LINE_END	covered	examples/syntax/expressions.kgr	-
associated_const_decl	covered	examples/syntax/associated-constants.kgr	-
associated_const_def	covered	examples/syntax/associated-constants.kgr	-
propagation_suffix	covered	examples/syntax/result-option.kgr	-
interpolated_string	covered	examples/syntax/string-interpolation.kgr	-
interpolation_part	covered	examples/syntax/string-interpolation.kgr	-
interpolation	covered	examples/syntax/string-interpolation.kgr	-
interpolation_format	covered	examples/syntax/string-interpolation.kgr	-
FORMAT_START	covered	examples/syntax/string-interpolation.kgr	-
FORMAT_END	covered	examples/syntax/string-interpolation.kgr	-
FORMAT_OPEN	covered	examples/syntax/string-interpolation.kgr	-
FORMAT_CLOSE	covered	examples/syntax/string-interpolation.kgr	-
FORMAT_TEXT	covered	examples/syntax/string-interpolation.kgr	-
